,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1974.0,82.0,26.0,0.0,132.0
1,1933.0,140.0,67.0,1.0,272.0
2,1854.0,205.0,146.0,2.0,477.0
3,1745.0,247.0,255.0,3.0,724.0
4,1624.0,287.0,376.0,4.0,1011.0
5,1482.0,283.0,518.0,5.0,1294.0
6,1356.0,231.0,644.0,6.0,1525.0
7,1239.0,155.0,761.0,7.0,1680.0
8,1153.0,101.0,847.0,8.0,1781.0
9,1108.0,43.0,892.0,9.0,1824.0
10,1087.0,12.0,913.0,10.0,1836.0
11,1081.0,4.0,919.0,11.0,1840.0
12,1079.0,0.0,921.0,12.0,1840.0
13,1079.0,0.0,921.0,13.0,1840.0
14,1079.0,0.0,921.0,14.0,1840.0
15,1079.0,0.0,921.0,15.0,1840.0
16,1079.0,0.0,921.0,16.0,1840.0
17,1079.0,0.0,921.0,17.0,1840.0
18,1079.0,0.0,921.0,18.0,1840.0
19,1079.0,0.0,921.0,19.0,1840.0
20,1079.0,0.0,921.0,20.0,1840.0
